Subrun Event Type process ystart yend ydiff length Eng Michel
389 19425 Muon 1 78.2592 118.565 40.3055 44.9906 0.807962 0
389 19426 Muon 1 32.5195 39.1373 6.61776 30.8962 0.208312 0
389 19428 Muon 1 91.8089 68.8861 22.9228 27.4136 1.39339 0
389 19429 Muon 1 -92.1338 -96.7071 4.57326 18.1574 1.11939 0
389 19430 Muon 1 34.1251 117.481 83.3563 85.922 0.984091 0
389 19432 Muon 1 -75.3524 66.8941 142.246 282.174 1.39471 0
389 19433 Muon 1 -115.578 -87.4592 28.1184 53.0009 1.69947 0
389 19434 Muon 1 -57.2027 -32.3369 24.8659 78.7162 0.302343 0
389 19435 Muon 1 -74.441 -71.7717 2.66932 11.668 1.8618 0
389 19436 Muon 1 -89.8255 -115.368 25.5426 26.9573 1.63012 0
389 19437 Muon 1 -63.8819 -41.972 21.9099 110.394 0.991271 0
389 19438 Muon 1 -79.3686 -97.9312 18.5627 37.9082 0.830795 0
389 19439 Muon 1 10.705 -64.5753 75.2802 98.261 0.358663 0
389 19440 Muon 1 89.4565 96.4796 7.02309 35.0312 1.75215 0
389 19441 Muon 1 -16.2067 -33.3722 17.1656 431.438 1.80696 0
389 19441 Muon 1 -26.7551 -26.9962 0.241091 14.1802 1.80696 0
389 19442 Muon 1 76.5518 117.49 40.9377 45.8986 0.815754 0
389 19443 Muon 1 -28.4751 -114.713 86.2381 163.983 1.60136 0
389 19444 Muon 1 -69.7507 -59.1809 10.5698 21.5736 1.48682 0
389 19445 Muon 1 116.166 -54.0133 170.179 172.045 1.71614 0
389 19446 Muon 1 -115.489 -52.9552 62.5337 101.515 1.32792 0
389 19449 Muon 1 117.145 -11.8195 128.965 135.164 1.38271 0
397 19802 Muon 1 73.0617 59.876 13.1858 86.8713 1.21213 0
397 19803 Muon 1 -13.3577 -18.9892 5.63153 271.18 1.46139 0
397 19804 Muon 1 -26.9214 117.478 144.4 238.327 1.0691 0
397 19805 Muon 1 -19.8218 -17.1171 2.7047 5.95482 0.140582 0
397 19806 Muon 1 -87.9607 -61.6943 26.2664 233.01 1.75828 0
397 19807 Muon 1 93.0058 -116.11 209.116 490.947 1.35314 0
397 19809 Muon 1 10.1133 117.344 107.23 110.646 1.2522 0
397 19809 Muon 1 9.82669 -58.8794 68.7061 71.9336 1.2522 0
397 19810 Muon 1 93.2977 72.4341 20.8636 24.0395 1.00929 0
397 19811 Muon 1 -8.36658 117.296 125.663 175.309 1.98834 0
397 19813 Muon 1 97.4273 71.2862 26.1411 31.5615 0.451248 0
397 19817 Muon 1 92.5174 117.679 25.1612 29.1778 1.03499 0
397 19818 Muon 1 27.3169 2.06592 25.251 214.354 1.85805 0
397 19819 Muon 1 9.12597 -171.39 180.516 490.199 1.02907 0
397 19820 Muon 1 -115.059 20.6469 135.706 230.137 1.86313 0
